AAAS,African & African-American St
ABDS,Advanced Basic Design Studies
ABSC,Applied Behavioral Science
ACCT,Accounting
ACMP,Accompanying
ADS,Advanced Design Studies
AE,Aerospace Engineering
AEC,Applied English Center
AFND,Art Foundations
AIR,Air
AMBC,Ambulatory Clinic
AMED,Ambulatory Medicine
AMMD,Ambulatory Medicine
AMS,American Studies
ANAT,Anatomy
ANES,Anesthesiology
ANSL,Anesthesiology
ANTH,Anthropology
ANTM,Anatomy and Cell Biology
ARAB,Arabic
ARCE,Architectural Engineering
ARCH,Architecture
ARMY,Army
ART,Art
ASTR,Astronomy
ATMO,Atmospheric Science
ATMY,Anatomy
AUD,Audiology
BAND,Band
BASN,Bassoon
BCHM,Biochemistry & Molecular Biol
BE,Business Economics
BINF,Bioinformatics
BIOC,Biochemistry
BIOL,Biology
BLAW,Business Law
BRSS,Brass
BUS,Business
C&PE,Chemical & Petroleum Engr
C&T,Curriculum and Teaching
CARI,Carillon
CCSL,Critical Care Selective
CE,Civil & Envr Engineering
CER,Ceramics
CHAM,Chamber Music
CHEM,Chemistry
CHIN,Chinese
CHOR,Choral Music
CHUR,Church Music
CLAR,Clarinet
CLS,Clinical Lab Sciences
CLSX,Classics
CMGT,Construction Management
COMS,Communication Studies
COND,Conducting
CORE,Core SOM Preclinical Phase
CRSB,Croatian-Serbian
CSON,Diagnostic Cardiac Sonography
CTSU,Cardiothoracic Surgery
CYTO,Cytotechnology
DANC,Dance
DANE,Danish
DBBS,Double Bass
DBS,Design Basic Studies
DFND,Design Foundations
DIAG,Diagnostic Radiology
DIET,Dietetics and Nutrition
DN,Dietetics and Nutrition
DRWG,Drawing
DSCI,Decision Sciences
DTCH,Dutch
EALC,East Asian Languages&Cultures
ECIV,Eastern Civilization
ECON,Economics
EECS,Elect Engr & Computer Science
ELPS,Educ Leadership & Policy Stds
EMGT,Engineering Management
EMRM,Emergency Room
ENGL,English
ENGR,Engineering
ENTR,Entrepreneurship
EPHX,Engineering Physics
ESLP,English Secondary Lang Prof
EUPH,Euphonium
EURS,European Studies
EVRN,Environmental Studies
EXM,Expanded Media
FAPR,Family Practice
FCMD,Family and Community Medicine
FELW,Fellow
FIN,Finance
FLUT,Flute
FREN,French
FRHN,French Horn
FRSP,Foreign Study Program
GEOG,Geography
GEOL,Geology
GERM,German
GRK,Greek
GS,Graduate School
GSMC,Graduate Studies Medical Ctr
GUIT,Guitar
GYNO,Gynecology and Obstetrics
HA,History of Art
HAIT,Haitian
HARP,Harp
HAUS,Hausa
HEBR,Hebrew
HEIM,Health Information Mgmt
HIST,History
HNRS,Honors Program
HP&M,Health Policy & Management
HPCD,Harpsichord
HPMD,History&Philosophy of Medicine
HSES,"Health, Sport, & Exercise Sci"
