"course","number","course_nbr","course_title","course_topic","class_nbr","sec_nbr","min_hrs","max_hrs","seats_avl","total_enrl","enroll_cap","acad_career","component","consent","enrollable","instructor","start","end","meeting_days","begin_date","end_date","location","room","room_cap","wait_cap","wait_total","comb_sect_id","cs_enrl_cap","cs_enrl_total","cs_wait_cap","cs_wait_total"
AAAS, 102,347526,Arabic and Islamic Studies,,19282,1100,3,3,37,3,40,UGDL,LEC,None,Yes,"EL HAIMEUR, AMAL",12:30,01:45 PM,MW,AUG-23,DEC-17,LAWRENCE,CDUP 1200,45,0,0,0,0,0,0,0
AAAS, 103,000123,Introduction to Africa,,24334,1200,3,3,60,0,60,UGDL,LEC,None,Yes,"Ojiambo, Peter",12:30,01:45 PM,MW,AUG-23,DEC-17,LAWRENCE,ROB 156,60,0,0,0,0,0,0,0
AAAS, 104,346952,Intro African-American Studies,,20175,1000,3,3,50,0,50,UGDL,LEC,None,Yes,"Bolden, Anthony",12:30,01:45 PM,MW,AUG-23,DEC-17,LAWRENCE,ONLNE KULC,1000,10,0,0,0,0,0,0
AAAS, 105,000125,Intro to African History,,19184,1100,3,3,33,2,35,UGDL,LEC,None,Yes,"Omwodo, Hannington",APPT,,,AUG-23,OCT-15,LAWRENCE,ONLNE KULC,1000,0,0,85,45,2,0,0
AAAS, 106,000130,The Black Experience Americas,,10005,1000,3,3,158,1,160,UGDL,LEC,None,Yes,"Alexander, Shawn",08:00,09:15 AM,TuTh,AUG-23,DEC-17,LAWRENCE,MAL 1001,160,0,0,6328,160,2,0,0
AAAS, 106,000130,The Black Experience Americas,,24402,1300,3,3,42,2,45,UGDL,LEC,None,Yes,"Adams, William",APPT,,,OCT-25,DEC-17,LAWRENCE,ONLNE KULC,1000,0,0,164,45,3,0,0
AAAS, 160,000158,Introdctn West African History,,23734,1000,3,3,43,1,45,UGDL,LEC,None,Yes,"Omwodo, Hannington",11:00,12:15 PM,TuTh,AUG-23,DEC-17,LAWRENCE,SUM 424,63,0,0,6851,45,2,0,0
AAAS, 200,348265,Directed Studies,,15957,1000,3,3,1,0,1,UGDL,IND,Department,Yes,"Alexander, Shawn",APPT,,,AUG-23,DEC-17,LAWRENCE,KULC APPT,1000,0,0,0,0,0,0,0
AAAS, 200,348265,Directed Studies,,15958,1100,3,3,1,0,1,UGDL,IND,Department,Yes,"Bolden, Anthony",APPT,,,AUG-23,DEC-17,LAWRENCE,KULC APPT,1000,0,0,0,0,0,0,0
AAAS, 200,348265,Directed Studies,,18699,1210,3,3,1,0,1,UGDL,IND,Department,Yes,"Chikanda, Abel",APPT,,,AUG-23,DEC-17,LAWRENCE,KULC APPT,1000,0,0,0,0,0,0,0
AAAS, 200,348265,Directed Studies,,27416,1220,3,3,1,0,1,UGDL,IND,Department,Yes,"EL HAIMEUR, AMAL",04:30,06:00 PM,TuTh,OCT-05,DEC-09,OFF CAMPUS,ONLNEOFCP,500,0,0,0,0,0,0,0
AAAS, 200,348265,Directed Studies,,16548,1250,3,3,1,0,1,UGDL,IND,Department,Yes,"Gerschultz, Jessica",APPT,,,AUG-23,DEC-17,LAWRENCE,KULC APPT,1000,0,0,0,0,0,0,0
AAAS, 200,348265,Directed Studies,,29331,1300,3,3,1,0,1,UGDL,IND,Department,Yes,"Hines, Dorothy",APPT,,,AUG-23,DEC-17,LAWRENCE,KULC APPT,1000,0,0,0,0,0,0,0
AAAS, 200,348265,Directed Studies,,29330,1380,3,3,1,0,1,UGDL,IND,Department,Yes,"Persley, Nicole",APPT,,,AUG-23,DEC-17,LAWRENCE,KULC APPT,1000,0,0,0,0,0,0,0
AAAS, 200,348265,Directed Studies,,15959,1400,3,3,1,0,1,UGDL,IND,Department,Yes,"Jelks, Randal",APPT,,,AUG-23,DEC-17,LAWRENCE,KULC APPT,1000,0,0,0,0,0,0,0
AAAS, 200,348265,Directed Studies,,15961,1600,3,3,1,0,1,UGDL,IND,Department,Yes,"MacGonagle, Elizabeth",APPT,,,AUG-23,DEC-17,LAWRENCE,KULC APPT,1000,0,0,0,0,0,0,0
AAAS, 200,348265,Directed Studies,,15962,1800,3,3,1,0,1,UGDL,IND,Department,Yes,"Ojiambo, Peter",APPT,,,AUG-23,DEC-17,LAWRENCE,KULC APPT,1000,0,0,0,0,0,0,0
AAAS, 200,348265,Directed Studies,,15963,1900,3,3,1,0,1,UGDL,IND,Department,Yes,"Pennington, Dorthy",APPT,,,AUG-23,DEC-17,LAWRENCE,KULC APPT,1000,0,0,0,0,0,0,0
AAAS, 200,348265,Directed Studies,,29327,1950,3,3,1,0,1,UGDL,IND,None,Yes,"Rhine, Kathryn",APPT,,,AUG-23,DEC-17,LAWRENCE,KULC APPT,1000,0,0,0,0,0,0,0
AAAS, 200,348265,Directed Studies,,15964,2000,3,3,1,0,1,UGDL,IND,Department,Yes,"Ukpokodu, Peter",APPT,,,AUG-23,DEC-17,LAWRENCE,KULC APPT,1000,0,0,0,0,0,0,0
AAAS, 200,348265,Directed Studies,,29328,2200,3,3,1,0,1,UGDL,IND,None,Yes,"Yeku, James",APPT,,,AUG-23,DEC-17,LAWRENCE,KULC APPT,1000,0,0,0,0,0,0,0
AAAS, 203,351394,Culture and Health,,24306,1400,3,3,317,3,320,UGDL,LEC,None,No,"Rhine, Kathryn",APPT,,,AUG-23,DEC-17,LAWRENCE,ONLNE KULC,1000,0,0,7007,280,12,0,0
AAAS, 203,351394,Culture and Health,,24308,1500,3,3,30,2,32,UGDL,DIS,None,Yes,,APPT,,,AUG-23,DEC-17,LAWRENCE,ONLNE KULC,1000,0,0,7008,40,10,0,0
AAAS, 203,351394,Culture and Health,,24309,1600,3,3,31,1,32,UGDL,DIS,None,Yes,,APPT,,,AUG-23,DEC-17,LAWRENCE,ONLNE KULC,1000,0,0,7009,40,2,0,0
AAAS, 203,351394,Culture and Health,,24310,1700,3,3,32,0,32,UGDL,DIS,None,Yes,,APPT,,,AUG-23,DEC-17,LAWRENCE,ONLNE KULC,1000,0,0,7010,40,0,0,0
AAAS, 203,351394,Culture and Health,,24311,1800,3,3,32,0,32,UGDL,DIS,None,Yes,,APPT,,,AUG-23,DEC-17,LAWRENCE,ONLNE KULC,1000,0,0,7011,40,0,0,0
AAAS, 203,351394,Culture and Health,,24312,2000,3,3,32,0,32,UGDL,DIS,None,Yes,,APPT,,,AUG-23,DEC-17,LAWRENCE,ONLNE KULC,1000,0,0,7013,40,0,0,0
AAAS, 203,351394,Culture and Health,,24313,2200,3,3,32,0,32,UGDL,DIS,None,Yes,,APPT,,,AUG-23,DEC-17,LAWRENCE,ONLNE KULC,1000,0,0,7015,40,0,0,0
AAAS, 203,351394,Culture and Health,,24314,2300,3,3,32,0,32,UGDL,DIS,None,Yes,,APPT,,,AUG-23,DEC-17,LAWRENCE,ONLNE KULC,1000,0,0,7016,40,0,0,0
AAAS, 203,351394,Culture and Health,,29356,2400,3,3,32,0,32,UGDL,DIS,None,Yes,,APPT,,,AUG-23,DEC-17,LAWRENCE,ONLNE KULC,1000,0,0,7624,32,0,0,0
AAAS, 203,351394,Culture and Health,,29357,2500,3,3,32,0,32,UGDL,DIS,None,Yes,,APPT,,,AUG-23,DEC-17,LAWRENCE,ONLNE KULC,1000,0,0,7625,32,0,0,0
AAAS, 204,351396,"Culture and Health, Honors",,26032,2000,3,3,46,2,60,UGDL,LEC,None,Yes,"Rhine, Kathryn",APPT,,,AUG-23,DEC-17,LAWRENCE,ONLNE KULC,1000,0,0,7289,60,14,0,0
AAAS, 300,000133,African Traditionl Relgn&Thght,,25459,1000,3,3,30,0,30,UGDL,LEC,None,Yes,"Ukpokodu, Peter",11:00,12:15 PM,MW,AUG-23,DEC-17,LAWRENCE,WES 4033,36,0,0,0,0,0,0,0
AAAS, 305,000139,Modern Africa,,23740,1000,3,3,50,0,50,UGDL,LEC,None,Yes,"Omwodo, Hannington",11:00,12:15 PM,MW,AUG-23,DEC-17,LAWRENCE,SUM 502,61,0,0,7539,50,0,0,0
AAAS, 307,345576,"Modern Africa, Honors",,28187,1100,3,3,24,1,25,UGDL,LEC,None,Yes,"MacGonagle, Elizabeth",01:00,02:15 PM,TuTh,AUG-23,DEC-17,LAWRENCE,WES 4008,37,0,0,7516,25,1,0,0
AAAS, 320,000145,African Studies In:,African Film,28846,1000,3,3,23,5,30,UGDL,LEC,None,Yes,"Ukpokodu, Peter",APPT,,,AUG-23,OCT-15,LAWRENCE,ONLNE KULC,1000,0,0,202,30,7,0,0
AAAS, 320,000145,African Studies In:,Black Masculinities,28037,1100,3,3,23,6,30,UGDL,LEC,None,Yes,"Yeku, James",APPT,,,OCT-25,DEC-17,LAWRENCE,ONLNE KULC,1000,0,0,195,30,7,0,0
AAAS, 320,000145,African Studies In:,Social Media & Africn Pop Cult,28036,1800,3,3,24,4,30,UGDL,LEC,None,Yes,"Yeku, James",APPT,,,OCT-25,DEC-17,LAWRENCE,ONLNE KULC,1000,0,0,194,30,6,0,0
AAAS, 320,000145,African Studies In:,Social Media & Africn Pop Cult,28036,1800,3,3,24,4,30,UGDL,LEC,None,Yes,"Yeku, James",APPT,,,OCT-25,DEC-17,LAWRENCE,ONLNE KULC,1000,0,0,194,30,6,0,0
AAAS, 323,000148,African-American Studies In:,Black Masculinities,24382,0750,3,3,23,1,30,UGDL,LEC,None,Yes,"Yeku, James",APPT,,,OCT-25,DEC-17,LAWRENCE,ONLNE KULC,1000,0,0,195,30,7,0,0
AAAS, 323,000148,African-American Studies In:,Rsrch Mthds Afrcn Am Studies,23963,1000,3,3,20,0,20,UGDL,LEC,None,Yes,"Hines, Dorothy",11:00,12:15 PM,TuTh,OCT-25,DEC-17,LAWRENCE,ST 338B,24,0,0,0,0,0,0,0
AAAS, 323,000148,African-American Studies In:,Social Media & Africn Pop Cult,24333,1025,3,3,24,2,30,UGDL,LEC,None,Yes,"Yeku, James",APPT,,,OCT-25,DEC-17,LAWRENCE,ONLNE KULC,1000,0,0,194,30,6,0,0
AAAS, 323,000148,African-American Studies In:,Social Media & Africn Pop Cult,24333,1025,3,3,24,2,30,UGDL,LEC,None,Yes,"Yeku, James",APPT,,,OCT-25,DEC-17,LAWRENCE,ONLNE KULC,1000,0,0,194,30,6,0,0
AAAS, 323,000148,African-American Studies In:,Intro to Black Edu in the US,21479,1050,3,3,29,1,30,UGDL,LEC,None,Yes,"Hines, Dorothy",APPT,,,OCT-25,DEC-17,LAWRENCE,ONLNE KULC,1000,5,0,0,0,0,0,0
AAAS, 323,000148,African-American Studies In:,Slvry frm Slve's Point-of-View,28948,1100,3,3,8,0,8,UGDL,LEC,None,Yes,"Roediger, David",03:00,04:15 PM,MW,AUG-23,DEC-17,LAWRENCE,WES 4002,37,0,0,7576,35,1,0,0
AAAS, 325,348521,Popular Black Music,,28024,1000,3,3,45,0,45,UGDL,LEC,None,Yes,"Bolden, Anthony",03:00,04:15 PM,MW,AUG-23,DEC-17,LAWRENCE,ONLNE KULC,1000,0,0,0,0,0,0,0
AAAS, 327,348453,African American Culture,,16395,1000,3,3,30,0,30,UGDL,LEC,None,Yes,"Pennington, Dorthy",09:30,10:45 AM,TuTh,AUG-23,DEC-17,LAWRENCE,DHDC 2096,33,0,0,0,0,0,0,0
AAAS, 349,345835,Islam,,20544,1100,3,3,58,0,60,UGDL,LEC,None,Yes,"Brinton, Jacquelene",APPT,,,AUG-23,OCT-15,LAWRENCE,ONLNE KULC,1000,10,0,144,60,2,10,0
AAAS, 351,000154,Africa's Human Geographies,,23784,1000,3,3,23,0,24,UGDL,LEC,None,Yes,"Chikanda, Abel",09:30,10:45 AM,TuTh,AUG-23,DEC-17,LAWRENCE,LIN 225,24,0,0,6864,24,1,0,0
AAAS, 356,000157,African-American Theatre&Drama,,28031,1000,3,3,30,0,30,UGDL,LEC,None,Yes,"Persley, Nicole",10:00,11:15 AM,MW,AUG-23,DEC-17,LAWRENCE,ONLNE KULC,1000,0,0,7572,30,0,0,0
AAAS, 400,000161,Readings in:,,14396,1000,3,3,1,0,1,UGDL,IND,Instructor,Yes,"Alexander, Shawn",APPT,,,AUG-23,DEC-17,LAWRENCE,KULC APPT,1000,0,0,0,0,0,0,0
